0101,2024-05-09 12:48:54,410100000000F5
0103,2024-05-09 12:48:57,NO DATA
0104,2024-05-09 12:49:01,4104FFF7
0105,2024-05-09 12:49:04,41056D66
010B,2024-05-09 12:49:08,410B6463
010C,2024-05-09 12:49:11,410C000000
010D,2024-05-09 12:49:15,410D0001
010E,2024-05-09 12:49:18,410EFF01
010F,2024-05-09 12:49:22,410F5D60
0110,2024-05-09 12:49:25,4110000004
0111,2024-05-09 12:49:29,41110005
0101,2024-05-09 12:49:32,410100000000F5
0103,2024-05-09 12:49:36,NO DATA
0104,2024-05-09 12:49:39,4104FFF7
0105,2024-05-09 12:49:43,41056C65
010B,2024-05-09 12:49:46,410B6463
010C,2024-05-09 12:49:50,410C000000
010D,2024-05-09 12:49:54,410D0001
010E,2024-05-09 12:49:57,410EFF01
010F,2024-05-09 12:50:01,410F5D60
0110,2024-05-09 12:50:04,4110000004
0111,2024-05-09 12:50:08,41110005
0101,2024-05-09 12:50:11,410100000000F5
0103,2024-05-09 12:50:15,NO DATA
0104,2024-05-09 12:50:18,4104FFF7
0105,2024-05-09 12:50:22,41056C65
010B,2024-05-09 12:50:25,410B6463
010C,2024-05-09 12:50:29,410C000000
010D,2024-05-09 12:50:32,410D0001
010E,2024-05-09 12:50:36,410EFF01
010F,2024-05-09 12:50:39,410F5D60
0110,2024-05-09 12:50:43,4110000004
0111,2024-05-09 12:50:46,41110005
0101,2024-05-09 12:50:50,410100000000F5
0103,2024-05-09 12:50:53,NO DATA
0104,2024-05-09 12:50:57,41042F27
0105,2024-05-09 12:51:00,41056B64
010B,2024-05-09 12:51:04,410B6463
010C,2024-05-09 12:51:07,410C0D2C39
010D,2024-05-09 12:51:11,410D0304
010E,2024-05-09 12:51:14,410EFF01
010F,2024-05-09 12:51:18,410F595C
0110,2024-05-09 12:51:21,411005525B
0111,2024-05-09 12:51:25,41110005
0101,2024-05-09 12:51:28,410100000000F5
0103,2024-05-09 12:51:32,NO DATA
0104,2024-05-09 12:51:35,41046159
0105,2024-05-09 12:51:39,41056A63
010B,2024-05-09 12:51:42,410B6867
010C,2024-05-09 12:51:46,410C0D7885
010D,2024-05-09 12:51:49,410D0001
010E,2024-05-09 12:51:53,410EFF01
010F,2024-05-09 12:51:56,410F575A
0110,2024-05-09 12:52:00,411004EEF6
0111,2024-05-09 12:52:03,41110005
0101,2024-05-09 12:52:07,410100000000F5
0103,2024-05-09 12:52:10,NO DATA
0104,2024-05-09 12:52:14,41042D25
0105,2024-05-09 12:52:17,41056B64
010B,2024-05-09 12:52:21,410B6867
010C,2024-05-09 12:52:24,410C0D808D
010D,2024-05-09 12:52:28,410D0001
010E,2024-05-09 12:52:31,410EFF01
010F,2024-05-09 12:52:35,410F585B
0110,2024-05-09 12:52:38,411005666F
0111,2024-05-09 12:52:42,41115257
0101,2024-05-09 12:52:45,410100000000F5
0103,2024-05-09 12:52:49,NO DATA
0104,2024-05-09 12:52:52,41042D25
0105,2024-05-09 12:52:56,41056C65
010B,2024-05-09 12:52:59,410B6867
010C,2024-05-09 12:53:03,410C121022
010D,2024-05-09 12:53:06,410D1314
010E,2024-05-09 12:53:10,410EFF01
010F,2024-05-09 12:53:13,410F585B
0110,2024-05-09 12:53:17,411004D6DE
0111,2024-05-09 12:53:20,41110C11
0101,2024-05-09 12:53:24,410100000000F5
0103,2024-05-09 12:53:27,NO DATA
0104,2024-05-09 12:53:31,4104EBE3
